,utla,region
0,Bradford,Yorkshire and The Humber
1,Wakefield,Yorkshire and The Humber
2,Manchester,North West
3,Wigan,North West
4,St. Helens,North West
5,Warrington,North West
6,Rochdale,North West
7,Cheshire East,North West
8,Oldham,North West
9,Liverpool,North West
10,Sefton,North West
11,Derbyshire,East Midlands
12,Wirral,North West
13,Stockport,North West
14,Knowsley,North West
15,Trafford,North West
16,Cheshire West and Chester,North West
17,Halton,North West
18,Bolton,North West
19,Blackburn with Darwen,North West
20,Salford,North West
21,Blackpool,North West
22,Lancashire,North West
23,Leeds,Yorkshire and The Humber
24,Sheffield,Yorkshire and The Humber
25,Rotherham,Yorkshire and The Humber
26,Barnsley,Yorkshire and The Humber
27,Kirklees,Yorkshire and The Humber
28,Calderdale,Yorkshire and The Humber
29,Doncaster,Yorkshire and The Humber
30,Lincolnshire,East Midlands
31,Gloucestershire,South West
32,Tameside,North West
33,"Kingston upon Hull, City of",Yorkshire and The Humber
34,"Bristol, City of",South West
35,Devon,South West
36,North Somerset,South West
37,South Gloucestershire,South West
38,Stoke-on-Trent,West Midlands
39,Somerset,South West
40,North Yorkshire,Yorkshire and The Humber
41,East Riding of Yorkshire,Yorkshire and The Humber
42,York,Yorkshire and The Humber
43,Bath and North East Somerset,South West
44,Worcestershire,West Midlands
45,Staffordshire,West Midlands
46,Cumbria,North West
47,Torbay,South West
48,Birmingham,West Midlands
49,Leicester,East Midlands
50,Leicestershire,East Midlands
51,Cornwall,South West
52,Coventry,West Midlands
53,Hertfordshire,East of England
54,Plymouth,South West
55,Sandwell,West Midlands
56,Shropshire,West Midlands
57,Bury,North West
58,Dudley,West Midlands
59,Telford and Wrekin,West Midlands
60,Buckinghamshire,South East
61,Barnet,London
62,Portsmouth,South East
63,Hampshire,South East
64,Luton,East of England
65,Southampton,South East
66,West Sussex,South East
67,Dorset,South West
68,Walsall,West Midlands
69,Wolverhampton,West Midlands
70,Oxfordshire,South East
71,Wokingham,South East
72,Reading,South East
73,Isle of Wight,South East
74,West Berkshire,South East
75,"Bournemouth, Christchurch and Poole",South West
76,Wiltshire,South West
77,Swindon,South West
78,Bracknell Forest,South East
79,Solihull,West Midlands
80,Enfield,London
81,"Herefordshire, County of",West Midlands
82,Nottingham,East Midlands
83,Central Bedfordshire,East of England
84,Warwickshire,West Midlands
85,Sunderland,North East
86,North Lincolnshire,Yorkshire and The Humber
87,County Durham,North East
88,North East Lincolnshire,Yorkshire and The Humber
89,North Tyneside,North East
90,Stockton-on-Tees,North East
91,Northumberland,North East
92,Darlington,North East
93,Nottinghamshire,East Midlands
94,Essex,East of England
95,Rutland,East Midlands
96,Redcar and Cleveland,North East
97,Norfolk,East of England
98,Newcastle upon Tyne,North East
99,Derby,East Midlands
100,Bexley,London
101,Northamptonshire,East Midlands
102,Surrey,South East
103,Haringey,London
104,Brighton and Hove,South East
105,Slough,South East
106,Middlesbrough,North East
107,Gateshead,North East
108,East Sussex,South East
109,Croydon,London
110,Wandsworth,London
111,Ealing,London
112,Merton,London
113,Newham,London
114,Redbridge,London
115,Havering,London
116,Kensington and Chelsea,London
117,Hillingdon,London
118,Brent,London
119,Harrow,London
120,Lewisham,London
121,Southwark,London
122,Hounslow,London
123,Bromley,London
124,Tower Hamlets,London
125,Barking and Dagenham,London
126,Lambeth,London
127,Kent,South East
128,Medway,South East
129,Bedford,East of England
130,Sutton,London
131,Kingston upon Thames,London
132,Peterborough,East of England
133,Hammersmith and Fulham,London
134,Hartlepool,North East
135,South Tyneside,North East
136,Westminster,London
137,Windsor and Maidenhead,South East
138,Cambridgeshire,East of England
139,Milton Keynes,South East
140,Islington,London
141,Camden,London
142,Richmond upon Thames,London
143,Suffolk,East of England
144,Southend-on-Sea,East of England
145,Thurrock,East of England
146,Waltham Forest,London
147,Hackney,London
148,Greenwich,London
149,Isles of Scilly,South West
150,City of London,London
